"species","sppgrp"
"Artocarpus heterophyllus","Mixed hardwood"
"carambola","Mixed hardwood"
"neem","Mixed hardwood"
"common bamboo","Mixed hardwood"
"Puerto Rico palo de ramon","Mixed hardwood"
"Vanderbilt's palo de ramon","Mixed hardwood"
"sea putat","Mixed hardwood"
"Bastardiopsis eggersii","Mixed hardwood"
"Napoleon's plume","Mixed hardwood"
"petite flamboyant bauhinia","Mixed hardwood"
"railroadfence","Mixed hardwood"
"butterfly tree","Mixed hardwood"
"St. Thomas tree","Mixed hardwood"
"mountain ebony","Mixed hardwood"
"slugwood","Mixed hardwood"
"Caribbean myrtlecroton","Mixed hardwood"
"lipsticktree","Mixed hardwood"
"akee","Mixed hardwood"
"wild dilly","Mixed hardwood"
"zapote de costa","Mixed hardwood"
"nisperillo","Mixed hardwood"
"sapodilla","Mixed hardwood"
"palo de cana","Mixed hardwood"
"bastard hogberry","Mixed hardwood"
"beruquillo","Mixed hardwood"
"Matayba apetala","Mixed hardwood"
"negra lora","Mixed hardwood"
"Caribbean mayten","Mixed hardwood"
"Puerto Rico mayten","Mixed hardwood"
"white cinnamon","Mixed hardwood"
"ponce mayten","Mixed hardwood"
"Mecranium latifolium","Mixed hardwood"
"Spanish lime","Mixed hardwood"
"aguacatillo","Mixed hardwood"
"cacaillo","Mixed hardwood"
"teabush","Mixed hardwood"
"parrotweed","Mixed hardwood"
"white alling","Mixed hardwood"
"Bourreria radula","Mixed hardwood"
"bodywood","Mixed hardwood"
"roble de guayo","Mixed hardwood"
"West Indian sumac","Mixed hardwood"
"American brunfelsia","Mixed hardwood"
"Serpentine Hill raintree","Mixed hardwood"
"vega blanca","Mixed hardwood"
"Puerto Rico raintree","Mixed hardwood"
"fourleaf buchenavia","Mixed hardwood"
"gregorywood","Mixed hardwood"
"cafe falso","Mixed hardwood"
"cafe forastero","Mixed hardwood"
"Bunchosia polystachia","Mixed hardwood"
"Buxus laevigata","Mixed hardwood"
"Puerto Rico box","Mixed hardwood"
"Vahl's box","Mixed hardwood"
"maricao cimun","Mixed hardwood"
"Long Key locustberry","Mixed hardwood"
"doncella","Mixed hardwood"
"almendrillo","Mixed hardwood"
"nicker","Mixed hardwood"
"divi divi","Mixed hardwood"
"pride-of-Barbados","Mixed hardwood"
"sappanwood","Mixed hardwood"
"Surinamese stickpea","Mixed hardwood"
"caparosa","Mixed hardwood"
"crimson bottlebrush","Mixed hardwood"
"Callitris columellaris","Pine"
"Caloncoba echinata","Mixed hardwood"
"Antilles calophyllum","Mixed hardwood"
"Alexandrian laurel","Mixed hardwood"
"roostertree","Mixed hardwood"
"degame","Mixed hardwood"
"Kiaerskov's lidflower","Mixed hardwood"
"hairy johnnyberry","Mixed hardwood"
"saquiyac","Mixed hardwood"
"Puerto Rico johnnyberry","Mixed hardwood"
"camasey de costilla","Mixed hardwood"
"smooth johnnyberry","Mixed hardwood"
"camasey cuatrocanales","Mixed hardwood"
"camasey racimoso","Mixed hardwood"
"granadillo bobo","Mixed hardwood"
"auquey","Mixed hardwood"
"ridge johnnyberry","Mixed hardwood"
"camasey felpa","Mixed hardwood"
"peralejo","Mixed hardwood"
"jau jau","Mixed hardwood"
"mountain johnnyberry","Mixed hardwood"
"forest johnnyberry","Mixed hardwood"
"rajador","Mixed hardwood"
"camasey tomaso","Mixed hardwood"
"caimitillo verde","Mixed hardwood"
"Micropholis guyanensis","Mixed hardwood"
"elegant mimosa","Mixed hardwood"
"monodora","Mixed hardwood"
"Morella cerifera","Mixed hardwood"
"Morella holdridgeana","Mixed hardwood"
"Indian mulberry","Mixed hardwood"
"horseradishtree","Mixed hardwood"
"ratapple","Mixed hardwood"
"murta","Mixed hardwood"
"mameyuelo","Mixed hardwood"
"strawberrytree","Mixed hardwood"
"Murraya exotica","Mixed hardwood"
"limoncillo","Mixed hardwood"
"Luquillo forest lidflower","Mixed hardwood"
"pale lidflower","Mixed hardwood"
"Puerto Rico lidflower","Mixed hardwood"
