"species","sppgrp"
"rufous false cocaine","Mixed hardwood"
"Urban's false cocaine","Mixed hardwood"
"Indonesian gum","Mixed hardwood"
"spotted gum","Mixed hardwood"
"gray ironbark","Mixed hardwood"
"redmahogany","Mixed hardwood"
"Sydney bluegum","Mixed hardwood"
"Puerto Rico palmetto","Mixed hardwood"
"white hogwood","Mixed hardwood"
"Salix humboldtiana","Mixed hardwood"
"raintree","Mixed hardwood"
"common elderberry","Mixed hardwood"
"Graves oak","Hard maple/oak/hickory/beech"
"Mexican white oak","Hard maple/oak/hickory/beech"
"Buckley oak","Hard maple/oak/hickory/beech"
"Lacey oak","Hard maple/oak/hickory/beech"
"wingleaf soapberry","Mixed hardwood"
"gumtree","Mixed hardwood"
"hinchahuevos","Mixed hardwood"
"milktree","Mixed hardwood"
"amansa guapo","Mixed hardwood"
"Florida boxwood","Mixed hardwood"
"guayabilla","Mixed hardwood"
"yuquilla","Mixed hardwood"
"matchwood","Mixed hardwood"
"Brazilian peppertree","Mixed hardwood"
"Brazilian firetree","Mixed hardwood"
"lac tree","Mixed hardwood"
"arana","Mixed hardwood"
"white beefwood","Mixed hardwood"
"gulf graytwig","Mixed hardwood"
"emperor's candlesticks","Mixed hardwood"
"flor de San Jose","Mixed hardwood"
"false sicklepod","Mixed hardwood"
"retama prieta","Mixed hardwood"
"Siamese cassia","Mixed hardwood"
"casia amarilla","Mixed hardwood"
"Senna sulfurea","Mixed hardwood"
"netleaf hackberry","Mixed hardwood"
"eastern redbud","Mixed hardwood"
"curlleaf mountain-mahogany","Juniper/oak/mesquite"
"yellowwood","Mixed hardwood"
"dogwood spp.","Mixed hardwood"
"flowering dogwood","Mixed hardwood"
"Pacific dogwood","Mixed hardwood"
"hawthorn spp.","Mixed hardwood"
"cockspur hawthorn","Mixed hardwood"
"downy hawthorn","Mixed hardwood"
"Brainerd's hawthorn","Mixed hardwood"
"pear hawthorn","Mixed hardwood"
"fireberry hawthorn","Mixed hardwood"
"broadleaf hawthorn","Mixed hardwood"
"fanleaf hawthorn","Mixed hardwood"
"oneseed hawthorn","Mixed hardwood"
"scarlet hawthorn","Mixed hardwood"
"eucalyptus spp.","Mixed hardwood"
"Tasmanian bluegum","Mixed hardwood"
"river redgum","Mixed hardwood"
"grand eucalyptus","Mixed hardwood"
"swampmahogany","Mixed hardwood"
"persimmon spp.","Mixed hardwood"
"common persimmon","Mixed hardwood"
"Texas persimmon","Mixed hardwood"
"Anacua knockaway","Juniper/oak/mesquite"
"American beech","Hard maple/oak/hickory/beech"
"ash spp.","Mixed hardwood"
"white ash","Mixed hardwood"
"Oregon ash","Mixed hardwood"
"black ash","Mixed hardwood"
"green ash","Mixed hardwood"
"pumpkin ash","Mixed hardwood"
"blue ash","Mixed hardwood"
"velvet ash","Mixed hardwood"
"Carolina ash","Mixed hardwood"
"Texas ash","Mixed hardwood"
"honeylocust spp.","Mixed hardwood"
"waterlocust","Mixed hardwood"
"honeylocust","Mixed hardwood"
"loblolly-bay","Mixed hardwood"
"ginkgo, maidenhair tree","Mixed hardwood"
"Kentucky coffeetree","Mixed hardwood"
"silverbell spp.","Mixed hardwood"
"Carolina silverbell","Mixed hardwood"
"two-wing silverbell","Mixed hardwood"
"little silverbell","Mixed hardwood"
"American holly","Mixed hardwood"
"white stopper","Mixed hardwood"
"blackrodwood","Mixed hardwood"
"Sierra de Cayey stopper","Mixed hardwood"
"guayabota de sierra","Mixed hardwood"
"redberry stopper","Mixed hardwood"
"lathberry","Mixed hardwood"
"sperry guava","Mixed hardwood"
"serrette guave","Mixed hardwood"
"guasabara","Mixed hardwood"
"smooth rodwood","Mixed hardwood"
"Luquillo Mountain stopper","Mixed hardwood"
"privet stopper","Mixed hardwood"
"birdcherry","Mixed hardwood"
"rockmyrtle","Mixed hardwood"
"Christmas cherry","Mixed hardwood"
"serrasuela","Mixed hardwood"
"sessileleaf stopper","Mixed hardwood"
"Stahl's stopper","Mixed hardwood"
"Stewardson's stopper","Mixed hardwood"
"Underwood's stopper","Mixed hardwood"
"Surinam cherry","Mixed hardwood"
"aridland stopper","Mixed hardwood"
"Mexican shrubby spurge","Mixed hardwood"
"mottled spurge","Mixed hardwood"
"Indian spurgetree","Mixed hardwood"
"manchineel berry","Mixed hardwood"
"Indiantree spurge","Mixed hardwood"
"Caribbean princewood","Mixed hardwood"
"plateado","Mixed hardwood"
"Exostema sanctae-luciae","Mixed hardwood"
"glossy shower","Mixed hardwood"
"vegetable hummingbird","Mixed hardwood"
"espejuelo","Mixed hardwood"
"breakbill","Mixed hardwood"
"Puerto Rico bully","Mixed hardwood"
"simarouba","Mixed hardwood"
"aceitillo falso","Mixed hardwood"
"hoja menuda","Mixed hardwood"
"bullwood","Mixed hardwood"
"motillo","Mixed hardwood"
"Solanum bahamense","Mixed hardwood"
"mullein nightshade","Mixed hardwood"
"potatotree","Mixed hardwood"
"forest nightshade","Mixed hardwood"
"cakalaka berry","Mixed hardwood"
"tabacon aspero","Mixed hardwood"
"turkey berry","Mixed hardwood"
"African tuliptree","Mixed hardwood"
"Spondias dulcis","Mixed hardwood"
"yellow mombin","Mixed hardwood"
"Anacahuita Texas Olive","Mixed hardwood"
"purple mombin","Mixed hardwood"
"cobana negra","Mixed hardwood"
"Panama tree","Mixed hardwood"
"hazel sterculia","Mixed hardwood"
"palo de jazmin","Mixed hardwood"
"bay cedar","Mixed hardwood"
"mahogany","Mixed hardwood"
"Honduras mahogany","Mixed hardwood"
"nispero cimarron","Mixed hardwood"
"Martinique sweetleaf","Mixed hardwood"
"aceitunilla","Mixed hardwood"
"walnut spp.","Mixed hardwood"
"butternut","Mixed hardwood"
"black walnut","Mixed hardwood"
"northern California black walnut","Mixed hardwood"
"southern California black walnut","Mixed hardwood"
"Texas walnut","Mixed hardwood"
"Arizona walnut","Mixed hardwood"
"sweetgum","Mixed hardwood"
"yellow-poplar","Mixed hardwood"
"tanoak","Mixed hardwood"
"Osage-orange","Mixed hardwood"
"magnolia spp.","Mixed hardwood"
"cucumbertree","Mixed hardwood"
"southern magnolia","Mixed hardwood"
"sweetbay","Mixed hardwood"
"bigleaf magnolia","Mixed hardwood"
"mountain or Fraser magnolia","Mixed hardwood"
"pyramid magnolia","Mixed hardwood"
"umbrella magnolia","Mixed hardwood"
"apple spp.","Mixed hardwood"
"Oregon crab apple","Mixed hardwood"
"southern crab apple","Mixed hardwood"
"sweet crab apple","Mixed hardwood"
"prairie crab apple","Mixed hardwood"
"mulberry spp.","Mixed hardwood"
"white mulberry","Mixed hardwood"
"red mulberry","Mixed hardwood"
"Texas mulberry","Mixed hardwood"
"black mulberry","Mixed hardwood"
"tupelo spp.","Mixed hardwood"
"water tupelo","Mixed hardwood"
"Ogeechee tupelo","Mixed hardwood"
"blackgum","Mixed hardwood"
"swamp tupelo","Mixed hardwood"
"eastern hophornbeam","Mixed hardwood"
"sourwood","Mixed hardwood"
"paulownia, empress-tree","Mixed hardwood"
"bay spp.","Mixed hardwood"
"redbay","Mixed hardwood"
"water-elm, planertree","Mixed hardwood"
"sycamore spp.","Mixed hardwood"
"California sycamore","Mixed hardwood"
"American sycamore","Mixed hardwood"
"Arizona sycamore","Mixed hardwood"
"cottonwood and poplar spp.","Aspen/alder/cottonwood/willow"
"balsam poplar","Aspen/alder/cottonwood/willow"
"eastern cottonwood","Aspen/alder/cottonwood/willow"
"bigtooth aspen","Aspen/alder/cottonwood/willow"
"false coffee","Mixed hardwood"
"Jamaican cherry fig","Mixed hardwood"
"Indian banyan","Mixed hardwood"
"weeping fig","Mixed hardwood"
"edible fig","Mixed hardwood"
"brown-woolly fig","Mixed hardwood"
"Indian rubberplant","Mixed hardwood"
"Ficus lutea","Mixed hardwood"
"fiddleleaf fig","Mixed hardwood"
"Chinese banyan","Mixed hardwood"
"tibig","Mixed hardwood"
"amate","Mixed hardwood"
"peepul tree","Mixed hardwood"
"jaguey","Mixed hardwood"
"sycamore fig","Mixed hardwood"
"jaguey blanco","Mixed hardwood"
"governor's plum","Mixed hardwood"
"batoko plum","Mixed hardwood"
"Flueggea acidoton","Mixed hardwood"
"inkbush","Mixed hardwood"
"caca ravet","Mixed hardwood"
"Florida swampprivet","Mixed hardwood"
"oval kumquat","Mixed hardwood"
"West Indian buckthorn","Mixed hardwood"
"shamel ash","Mixed hardwood"
"silkrubber","Mixed hardwood"
"avocado","Mixed hardwood"
"Gourka","Mixed hardwood"
"lemon saptree","Mixed hardwood"
"mangosteen","Mixed hardwood"
"palo de cruz","Mixed hardwood"
"Garcinia xanthochymus","Mixed hardwood"
"Syzygium jambos","Mixed hardwood"
"Malaysian apple","Mixed hardwood"
"roble amarillo","Mixed hardwood"
"primavera","Mixed hardwood"
"roble cimarron","Mixed hardwood"
"white cedar","Mixed hardwood"
"roble de sierra","Mixed hardwood"
"pink trumpet-tree","Mixed hardwood"
"roble colorado","Mixed hardwood"
"milkwood","Mixed hardwood"
"Athel tamarisk","Mixed hardwood"
"yellow trumpetbush","Mixed hardwood"
"teak","Mixed hardwood"
"tropical almond","Mixed hardwood"
"troipical almond","Mixed hardwood"
"Ivory Coast almond","Mixed hardwood"
"East Indian almond","Mixed hardwood"
"Peruvian almond","Mixed hardwood"
"superb terminalia","Mixed hardwood"
"saintedwood","Mixed hardwood"
"palo colorado","Mixed hardwood"
"copey vera","Mixed hardwood"
"mamey de cura","Mixed hardwood"
"el yunque colorado","Mixed hardwood"
"masa","Mixed hardwood"
"stinkingfish","Mixed hardwood"
"Puerto Rico clover ash","Mixed hardwood"
"krekre","Mixed hardwood"
"cenizo","Mixed hardwood"
"cacao","Mixed hardwood"
"swamp cottonwood","Aspen/alder/cottonwood/willow"
"plains cottonwood","Aspen/alder/cottonwood/willow"
"quaking aspen","Aspen/alder/cottonwood/willow"
"black cottonwood","Aspen/alder/cottonwood/willow"
"Fremont cottonwood","Aspen/alder/cottonwood/willow"
"narrowleaf cottonwood","Aspen/alder/cottonwood/willow"
"silver poplar","Aspen/alder/cottonwood/willow"
"Lombardy poplar","Aspen/alder/cottonwood/willow"
"mesquite spp.","Juniper/oak/mesquite"
"honey mesquite","Juniper/oak/mesquite"
"velvet mesquite","Juniper/oak/mesquite"
"screwbean mesquite","Juniper/oak/mesquite"
"cherry and plum spp.","Mixed hardwood"
"pin cherry","Mixed hardwood"
"black cherry","Mixed hardwood"
"chokecherry","Mixed hardwood"
"peach","Mixed hardwood"
"Canada plum","Mixed hardwood"
"American plum","Mixed hardwood"
"bitter cherry","Mixed hardwood"
"Allegheny plum","Mixed hardwood"
"Chickasaw plum","Mixed hardwood"
"sweet cherry, domesticated","Mixed hardwood"
"sour cherry, domesticated","Mixed hardwood"
"European plum, domesticated","Mixed hardwood"
"Mahaleb cherry, domesticated","Mixed hardwood"
"oak spp","Hard maple/oak/hickory/beech"
"California live oak","Hard maple/oak/hickory/beech"
"white oak","Hard maple/oak/hickory/beech"
"Arizona white oak","Juniper/oak/mesquite"
"swamp white oak","Hard maple/oak/hickory/beech"
"canyon live oak","Hard maple/oak/hickory/beech"
"scarlet oak","Hard maple/oak/hickory/beech"
"blue oak","Hard maple/oak/hickory/beech"
"Durand oak","Hard maple/oak/hickory/beech"
"northern pin oak","Hard maple/oak/hickory/beech"
"Emory oak","Juniper/oak/mesquite"
"Engelmann oak","Hard maple/oak/hickory/beech"
"southern red oak","Hard maple/oak/hickory/beech"
"cherrybark oak","Hard maple/oak/hickory/beech"
"Gambel oak","Juniper/oak/mesquite"
"Oregon white oak","Hard maple/oak/hickory/beech"
"scrub oak","Hard maple/oak/hickory/beech"
"shingle oak","Hard maple/oak/hickory/beech"
"California black oak","Hard maple/oak/hickory/beech"
"turkey oak","Hard maple/oak/hickory/beech"
"laurel oak","Hard maple/oak/hickory/beech"
"California white oak","Hard maple/oak/hickory/beech"
"llume","Mixed hardwood"
"jagua","Mixed hardwood"
"arbol de Navidad","Mixed hardwood"
"bastard gregre","Mixed hardwood"
"quickstick","Mixed hardwood"
"mata buey","Mixed hardwood"
"grand merisier","Mixed hardwood"
"Creole cotton","Mixed hardwood"
"Gossypium hirsutum","Mixed hardwood"
"Graffenrieda ottoschulzii","Mixed hardwood"
"silkoak","Mixed hardwood"
"lignum-vitae","Mixed hardwood"
"holywood","Mixed hardwood"
"black mampoo","Mixed hardwood"
"corcho prieto","Mixed hardwood"
"alligatorwood","Mixed hardwood"
"American muskwood","Mixed hardwood"
"haya minga","Mixed hardwood"
"haya blanca","Mixed hardwood"
"bastardcedar","Mixed hardwood"
"hammock velvetseed","Mixed hardwood"
"frogwood","Mixed hardwood"
"cucubano de vieques","Mixed hardwood"
"cucubano","Mixed hardwood"
"roseta","Mixed hardwood"
"wild guave","Mixed hardwood"
"cucubano de monte","Mixed hardwood"
"West Indian false box","Mixed hardwood"
"oysterwood","Mixed hardwood"
"bloodwoodtree","Mixed hardwood"
"palo de hueso","Mixed hardwood"
"scarletbush","Mixed hardwood"
"false locust","Mixed hardwood"
"maga","Mixed hardwood"
"Portia tree","Mixed hardwood"
"luckynut","Mixed hardwood"
"ceboruquillo","Mixed hardwood"
"Puerto Rico ceboruquillo","Mixed hardwood"
"Brazilian glorytree","Mixed hardwood"
"redcedar","Mixed hardwood"
"Australian redcedar","Mixed hardwood"
"boje","Mixed hardwood"
"cold withe","Mixed hardwood"
"Lamarck's trema","Mixed hardwood"
"Jamaican nettletree","Mixed hardwood"
"broomstick","Mixed hardwood"
"gaita","Mixed hardwood"
"bariaco","Mixed hardwood"
"limeberry","Mixed hardwood"
"Triplaris spp.","Mixed hardwood"
"ant tree","Mixed hardwood"
"white ramoon","Mixed hardwood"
"muttonwood","Mixed hardwood"
"scratchbush","Mixed hardwood"
"flameberry","Mixed hardwood"
"ortiga","Mixed hardwood"
"voa vanga","Mixed hardwood"
"lilac chastetree","Mixed hardwood"
"higuerillo","Mixed hardwood"
"Wallenia lamarckiana","Mixed hardwood"
"bastard briziletto","Mixed hardwood"
"overcup oak","Hard maple/oak/hickory/beech"
"bur oak","Hard maple/oak/hickory/beech"
"blackjack oak","Hard maple/oak/hickory/beech"
"swamp chestnut oak","Hard maple/oak/hickory/beech"
"chinkapin oak","Hard maple/oak/hickory/beech"
"water oak","Hard maple/oak/hickory/beech"
"Texas red oak","Hard maple/oak/hickory/beech"
"Mexican blue oak","Juniper/oak/mesquite"
"pin oak","Hard maple/oak/hickory/beech"
"willow oak","Hard maple/oak/hickory/beech"
"chestnut oak","Hard maple/oak/hickory/beech"
"northern red oak","Hard maple/oak/hickory/beech"
"Shumard oak","Hard maple/oak/hickory/beech"
"post oak","Hard maple/oak/hickory/beech"
"Delta post oak","Hard maple/oak/hickory/beech"
"black oak","Hard maple/oak/hickory/beech"
"live oak","Hard maple/oak/hickory/beech"
"interior live oak","Hard maple/oak/hickory/beech"
"dwarf post oak","Hard maple/oak/hickory/beech"
"dwarf live oak","Hard maple/oak/hickory/beech"
"bluejack oak","Hard maple/oak/hickory/beech"
"silverleaf oak","Juniper/oak/mesquite"
"Oglethorpe oak","Hard maple/oak/hickory/beech"
"dwarf chinkapin oak","Hard maple/oak/hickory/beech"
"gray oak","Juniper/oak/mesquite"
"netleaf oak","Juniper/oak/mesquite"
"Chisos oak","Hard maple/oak/hickory/beech"
"sea torchwood","Mixed hardwood"
"pond-apple","Mixed hardwood"
"gumbo limbo","Mixed hardwood"
"sheoak spp.","Mixed hardwood"
"gray sheoak","Mixed hardwood"
"belah","Mixed hardwood"
"camphortree","Mixed hardwood"
"Florida fiddlewood","Mixed hardwood"
"citrus spp.","Mixed hardwood"
"tietongue, pigeon-plum","Mixed hardwood"
"soldierwood","Mixed hardwood"
"largeleaf geigertree","Mixed hardwood"
"carrotwood","Mixed hardwood"
"Bluewood","Juniper/oak/mesquite"
"Blackbead ebony","Mixed hardwood"
"Great leucaene","Mixed hardwood"
"Texas sophora","Mixed hardwood"
"red stopper","Mixed hardwood"
"butterbough, inkwood","Mixed hardwood"
"Florida strangler fig","Mixed hardwood"
"wild banyantree, shortleaf fig","Mixed hardwood"
"beeftree, longleaf blolly","Mixed hardwood"
"cigarbush","Mixed hardwood"
"screwtree","Mixed hardwood"
"camasey peludo","Mixed hardwood"
"MacFadyen's camasey","Mixed hardwood"
"thinleaf camasey","Mixed hardwood"
"jusillo","Mixed hardwood"
"mago","Mixed hardwood"
"mahoe","Mixed hardwood"
"seaside mahoe","Mixed hardwood"
"shoeblackplant","Mixed hardwood"
"sea hibiscus","Mixed hardwood"
"teta de burra cinarron","Mixed hardwood"
"pigeonberry","Mixed hardwood"
"white cogwood","Mixed hardwood"
"sandbox tree","Mixed hardwood"
"cedro macho","Mixed hardwood"
"stinkingtoe","Mixed hardwood"
"inkwood","Mixed hardwood"
"limestone snakevine","Mixed hardwood"
"dahoon","Mixed hardwood"
"te","Mixed hardwood"
"tallow wood","Mixed hardwood"
"mucha-gente","Mixed hardwood"
"spiny logwood","Mixed hardwood"
"white logwood","Mixed hardwood"
"Schwaneck's logwood","Mixed hardwood"
"aloe yucca","Mixed hardwood"
"moundlily yucca","Mixed hardwood"
"bluestem yucca","Mixed hardwood"
"Maricao pricklyash","Mixed hardwood"
"prickly yellow","Mixed hardwood"
"West Indian satinwood","Mixed hardwood"
"white pricklyash","Mixed hardwood"
"yellow prickle","Mixed hardwood"
"dotted pricklyash","Mixed hardwood"
"niaragato","Mixed hardwood"
"St. Thomas pricklyash","Mixed hardwood"
"Zapoteca portoricensis","Mixed hardwood"
"Indian jujube","Mixed hardwood"
"cacao rojo","Mixed hardwood"
"soana","Mixed hardwood"
"Taylor's jujube","Mixed hardwood"
"manchineel","Mixed hardwood"
"false tamarind","Mixed hardwood"
"mango","Mixed hardwood"
"Florida poisontree","Mixed hardwood"
"fishpoison tree","Mixed hardwood"
"octopus tree, schefflera","Mixed hardwood"
"false mastic","Mixed hardwood"
"white bully, willow bustic","Mixed hardwood"
"paradisetree","Mixed hardwood"
"Java plum","Mixed hardwood"
"tamarind","Mixed hardwood"
"black locust","Mixed hardwood"
"New Mexico locust","Juniper/oak/mesquite"
"Everglades palm, paurotis-palm","Mixed hardwood"
"Florida silver palm","Mixed hardwood"
"coconut palm","Mixed hardwood"
"royal palm spp.","Mixed hardwood"
"Mexican palmetto","Mixed hardwood"
"cabbage palmetto","Mixed hardwood"
"key thatch palm","Mixed hardwood"
"Florida thatch palm","Mixed hardwood"
"other palms","Mixed hardwood"
"western soapberry","Mixed hardwood"
"willow spp.","Aspen/alder/cottonwood/willow"
"peachleaf willow","Aspen/alder/cottonwood/willow"
"black willow","Aspen/alder/cottonwood/willow"
"Bebb willow","Aspen/alder/cottonwood/willow"
"Bonpland willow","Aspen/alder/cottonwood/willow"
"coastal plain willow","Aspen/alder/cottonwood/willow"
"balsam willow","Aspen/alder/cottonwood/willow"
"white willow","Aspen/alder/cottonwood/willow"
"Scouler's willow","Aspen/alder/cottonwood/willow"
"weeping willow","Aspen/alder/cottonwood/willow"
"sassafras","Mixed hardwood"
"mountain-ash spp.","Mixed hardwood"
"American mountain-ash","Mixed hardwood"
"European mountain-ash","Mixed hardwood"
"northern mountain-ash","Mixed hardwood"
"West Indian mahogany","Mixed hardwood"
"basswood spp.","Mixed hardwood"
"American basswood","Mixed hardwood"
"white basswood","Mixed hardwood"
"Carolina basswood","Mixed hardwood"
"elm spp.","Mixed hardwood"
"winged elm","Mixed hardwood"
"American elm","Mixed hardwood"
"cedar elm","Mixed hardwood"
"Siberian elm","Mixed hardwood"
"fir spp.","True fir/hemlock"
"oak spp.","Hard maple/oak/hickory/beech"
"black wattle","Mixed hardwood"
"common snakebark","Mixed hardwood"
"fan palm","Mixed hardwood"
"Waioli Valley pritchardia","Mixed hardwood"
"Nihoa pritchardia","Mixed hardwood"
"lands of papa pritchardia","Mixed hardwood"
"pritchardia","Mixed hardwood"
"stickybud pritchardia","Mixed hardwood"
"poleline pritchardia","Mixed hardwood"
"fua lole","Mixed hardwood"
"mesquite","Mixed hardwood"
"strawberry guava","Mixed hardwood"
"Koolau Range wild coffee","Mixed hardwood"
"largeflower wild coffee","Mixed hardwood"
"Kauai wild coffee","Mixed hardwood"
"Waianae Range wild coffee","Mixed hardwood"
"kopikoula","Mixed hardwood"
"woodland wild coffee","Mixed hardwood"
"Oahu wild coffee","Mixed hardwood"
"milolii kopiwai","Mixed hardwood"
"matalafi","Mixed hardwood"
"kopiko kea","Mixed hardwood"
"aplohkateng","Mixed hardwood"
"forest wild coffee","Mixed hardwood"
"opiko","Mixed hardwood"
"Maytenus palauica","Mixed hardwood"
"kesiamel","Mixed hardwood"
"Dysoxylum","Mixed hardwood"
"oil nut palm","Mixed hardwood"
"kalia","Mixed hardwood"
"syatak","Mixed hardwood"
"`a`mati`e","Mixed hardwood"
"Elaeocarpus graeffei","Mixed hardwood"
"sapatua","Mixed hardwood"
"joga","Mixed hardwood"
"Elaeocarpus kerstingianus","Mixed hardwood"
"maratte, opop","Mixed hardwood"
"Elaeocarpus","Mixed hardwood"
"aamatie","Mixed hardwood"
"taputoi","Mixed hardwood"
"utuutu","Mixed hardwood"
"elaeocarpa","Mixed hardwood"
"wili wili","Mixed hardwood"
"erythrina","Mixed hardwood"
"gatae palagi","Mixed hardwood"
"acuminatissimum","Mixed hardwood"
"southern mahogany","Mixed hardwood"
"applebox","Mixed hardwood"
"argyle apple","Mixed hardwood"
"Hawaii pritchardia","Mixed hardwood"
"Maui pritchardia","Mixed hardwood"
"Kilauea pritchardia","Mixed hardwood"
"Mt. Eke pritchardia","Mixed hardwood"
"Makaleha pritchardia","Mixed hardwood"
"loulu lelo","Mixed hardwood"
"Waianae Range pritchardia","Mixed hardwood"
"Lanai pritchardia","Mixed hardwood"
"loulu","Mixed hardwood"
"Limahuli Valley pritchardia","Mixed hardwood"
"Molokai pritchardia","Mixed hardwood"
"Koolau Range pritchardia","Mixed hardwood"
"Alakai Swamp pritchardia","Mixed hardwood"
"Kamalo pritchardia","Mixed hardwood"
"sugargum","Mixed hardwood"
"yate","Mixed hardwood"
"narrowleaf red ironbark","Mixed hardwood"
"roundleaf gum","Mixed hardwood"
"tuart","Mixed hardwood"
"mountain graygum","Mixed hardwood"
"white box","Mixed hardwood"
"jarrah","Mixed hardwood"
"Australian tallowwood","Mixed hardwood"
"blackbutt","Mixed hardwood"
"black ironbox","Mixed hardwood"
"Western Australian floodedgum","Mixed hardwood"
"black peppermint","Mixed hardwood"
"red ironbark","Mixed hardwood"
"forest redgum","Mixed hardwood"
"manna gum","Mixed hardwood"
"edebsachel, chedebsachel","Mixed hardwood"
"Psychotria rhombocarpa","Mixed hardwood"
"Psychotria rotensis","Mixed hardwood"
"wild coffee","Mixed hardwood"
"leatherleaf wild coffee","Mixed hardwood"
"alahee","Mixed hardwood"
"Kauai pteralyxia","Mixed hardwood"
"ridged pteralyxia","Mixed hardwood"
"pteralyxia","Mixed hardwood"
"Ptychococcus ledermannianus","Mixed hardwood"
"Macarthur feather palm","Mixed hardwood"
"chesdbuuch","Mixed hardwood"
"Ptychosperma","Mixed hardwood"
"cork oak","Mixed hardwood"
"togo vao","Mixed hardwood"
"poison devils-pepper","Mixed hardwood"
"omechidel","Mixed hardwood"
"devils-pepper","Mixed hardwood"
"vi vao","Mixed hardwood"
"ohe makai","Mixed hardwood"
"reynoldsia","Mixed hardwood"
"Rheeda","Mixed hardwood"
"mangle","Mixed hardwood"
"Rhizophora lamarckii","Mixed hardwood"
"mangle hembra","Mixed hardwood"
"mangrove","Mixed hardwood"
"Rhizophora stylosa","Mixed hardwood"
"rose myrtle","Mixed hardwood"
"Rhodomyrtus tomentosus","Mixed hardwood"
"neneleau","Mixed hardwood"
"sumac","Mixed hardwood"
"tavai","Mixed hardwood"
"cloves","Mixed hardwood"
"macupa, wax apple","Mixed hardwood"
"nioi","Mixed hardwood"
"makupa, malay apple","Mixed hardwood"
"Eugenia nitida","Mixed hardwood"
"orenged","Mixed hardwood"
"agatelang","Mixed hardwood"
"mountain stopper","Mixed hardwood"
"stopper","Mixed hardwood"
"luluhut","Mixed hardwood"
"rebotel","Mixed hardwood"
"atoto","Mixed hardwood"
"Kauai spurge","Mixed hardwood"
"poinsettia","Mixed hardwood"
"spurge","Mixed hardwood"
"Longan","Mixed hardwood"
"anini","Mixed hardwood"
"eurya","Mixed hardwood"
"Euodia hortensis","Mixed hardwood"
"kertub","Mixed hardwood"
"beror","Mixed hardwood"
"Euodia ponapensis","Mixed hardwood"
"Euodia","Mixed hardwood"
"Euodia trichantha","Mixed hardwood"
"blinding tree","Mixed hardwood"
"hulumoa","Mixed hardwood"
"exocarpos","Mixed hardwood"
"kotop","Mixed hardwood"
"ricinus","Mixed hardwood"
"Rinorea carolinensis","Mixed hardwood"
"Rollinia","Mixed hardwood"
"royal palm","Mixed hardwood"
"etkeam, cheskeam","Mixed hardwood"
"santol, kechapi","Mixed hardwood"
"coastal sandalwood","Mixed hardwood"
"forest sandalwood","Mixed hardwood"
"Haleakala sandalwood","Mixed hardwood"
"mountain sandalwood","Mixed hardwood"
"willowleaf sandalwood","Mixed hardwood"
"sandalwood","Mixed hardwood"
"lonomea","Mixed hardwood"
"soapberry","Mixed hardwood"
"vitiensis","Mixed hardwood"
"maskerekur","Mixed hardwood"
"uunu","Mixed hardwood"
"Scaevola, naupaka","Mixed hardwood"
"naupaka kuahiwi","Mixed hardwood"
"mountain naupaka","Mixed hardwood"
"forest naupaka","Mixed hardwood"
"naupaka","Mixed hardwood"
"schaefferia","Mixed hardwood"
"pualulu","Mixed hardwood"
"ksid","Mixed hardwood"
"Fagraea","Mixed hardwood"
"peacocksplume","Mixed hardwood"
"mati","Mixed hardwood"
"aoa","Mixed hardwood"
"Port Jackson fig","Mixed hardwood"
"lulk, banyan","Mixed hardwood"
"mati vao","Mixed hardwood"
"fig","Mixed hardwood"
"higo","Mixed hardwood"
"Finschia chloroxantha","Mixed hardwood"
"burrdaisytree","Mixed hardwood"
"filimoto","Mixed hardwood"
"Queensland maple","Mixed hardwood"
"poumuli","Mixed hardwood"
"mehamehame","Mixed hardwood"
"bushweed","Mixed hardwood"
"California buckthorn","Mixed hardwood"
"Bolivian fuchsia","Mixed hardwood"
"shrubby fuchsia","Mixed hardwood"
"fuchsia","Mixed hardwood"
"samoensis","Mixed hardwood"
"Toitoi","Mixed hardwood"
"Peruvian peppertree","Mixed hardwood"
"kuat","Mixed hardwood"
"tonget","Mixed hardwood"
"Gaudichauds senna","Mixed hardwood"
"valamuerto","Mixed hardwood"
"senna","Mixed hardwood"
"ukall","Mixed hardwood"
"hayun lago, trongkon guafi","Mixed hardwood"
"Egyptian riverhemp","Mixed hardwood"
"riverhemp","Mixed hardwood"
"Shirakiopsis indica","Mixed hardwood"
"yellow llima","Mixed hardwood"
"fanpetals","Mixed hardwood"
"American black nightshade","Mixed hardwood"
"earleaf nightshade","Mixed hardwood"
"tilol","Mixed hardwood"
"none","Mixed hardwood"
"konpuil","Mixed hardwood"
"Garcinia","Mixed hardwood"
"forest gardenia","Mixed hardwood"
"Oahu gardenia","Mixed hardwood"
"Remys gardenia","Mixed hardwood"
"gardenia","Mixed hardwood"
"Tahitian gardenia","Mixed hardwood"
"manuai vivao","Mixed hardwood"
"taipoipo","Mixed hardwood"
"Gironniera celtidifolia","Mixed hardwood"
"masame","Mixed hardwood"
"Glochidion marianum","Mixed hardwood"
"Glochidion","Mixed hardwood"
"belau","Mixed hardwood"
"blacheos","Mixed hardwood"
"Gmelina","Mixed hardwood"
"Gnetum gnemon","Mixed hardwood"
"Goniothalamus carolinensis","Mixed hardwood"
"kahiliflower","Mixed hardwood"
"grevillea","Mixed hardwood"
"fau ui","Mixed hardwood"
"paipai","Mixed hardwood"
"nightshade","Mixed hardwood"
"mamani","Mixed hardwood"
"necklacepod","Mixed hardwood"
