"StandID","Year","Aboveground_Total_Live","Aboveground_Merch_Live","Belowground_Live","Belowground_Dead","Standing_Dead","Forest_Down_Dead_Wood","Forest_Floor","Forest_Shrub_Herb","Total_Stand_Carbon","Total_Removed_Carbon","Carbon_Released_From_Fire","Stand_CN","time","FOR","hard_pulp","soft_pulp","hard_saw","soft_saw","tot_tC_ac_100"
"OAK_BAU",2013,29.1231307983398,20.376522064209,6.83505439758301,4.96373176574707,0.224100008606911,7.60801219940186,4.13745212554932,0.560000002384186,53.4514770507812,15.3454990386963,0,"189295921020004",0,"OAK",0.556760770905636,0,2.78920330662147,0,3.3459640775271
"OAK_BAU",2018,25.6747856140137,16.7701187133789,5.85794496536255,6.21034622192383,0.225421473383904,7.50812911987305,3.30867457389832,0.699999988079071,49.4853019714355,6.72752857208252,0,"189295921020004",5,"OAK",0.216621198419339,0,1.24518428826397,0,1.46180548668331
"OAK_BAU",2023,28.0807495117188,15.9778347015381,6.36584854125977,6.17348098754883,0.726694405078888,8.35762405395508,3.30929946899414,0.939999997615814,53.9536972045898,3.09678721427917,0,"189295921020004",10,"OAK",0.19300182006337,0,0.525177651105333,0,0.718179471168704
"OAK_BAU",2028,32.6718826293945,17.1842823028564,7.50668334960938,5.38777685165405,1.48285317420959,8.09270572662354,3.43661856651306,1.28000009059906,59.8585166931152,0.422618299722672,0,"189295921020004",15,"OAK",0.0268915203483749,0,0.0715724319546835,0,0.0984639523030584
"OAK_BAU",2033,36.384521484375,18.3047161102295,8.52094841003418,4.74120664596558,1.40887749195099,9.24951553344727,3.68703031539917,1.28000009059906,65.272102355957,0.447477579116821,0,"189295921020004",20,"OAK",0.0359020497479145,0,0.0713373346912984,0,0.107239384439213
"OAK_BAU",2038,40.3657188415527,19.846607208252,9.5029764175415,4.15514373779297,1.33373308181763,9.21284294128418,3.92557787895203,1.28000009059906,69.7759857177734,0.26698687672615,0,"189295921020004",25,"OAK",0.0239233172640324,0,0.0411495636015767,0,0.0650728808656091
"OAK_GROW",2013,49.9778022766113,35.7220268249512,11.7311067581177,0.0676783248782158,0.224100008606911,2.59499979019165,3.7703001499176,0.560000002384186,68.9259872436523,0,0,"189295921020004",0,"OAK",0,0,0,0,0
"OAK_GROW",2018,55.014274597168,38.473461151123,12.7936944961548,0.338604599237442,1.29484498500824,2.34042739868164,3.69805645942688,0.699999988079071,76.1799011230469,0,0,"189295921020004",5,"OAK",0,0,0,0,0
"OAK_GROW",2023,58.0318603515625,38.9985160827637,13.5671215057373,1.20281183719635,4.5892972946167,4.92402362823486,4.02727746963501,0.939999997615814,87.2823944091797,0,0,"189295921020004",10,"OAK",0,0,0,0,0
"OAK_GROW",2028,58.3834266662598,38.9478569030762,13.8938322067261,2.36048245429993,7.7948784828186,7.75315189361572,4.25550842285156,1.28000009059906,95.7212753295898,0,0,"189295921020004",15,"OAK",0,0,0,0,0
