"CaseID","StandID","Year","Age","Tpa","BA","SDI","CCF","TopHt","QMD","MCuFt","SCuFt","SBdFt","RTpa","RMCuFt","RSCuFt","RSBdFt","ATBA","ATSDI","ATCCF","ATTopHt","ATQMD","PrdLen","Acc","Mort","MAI","ForTyp","SizeCls","StkCls","Stand_CN"
"51475370-321a-477a-b8d0-f48b628a5e2a","MBB_GROW",2021,90,1783,117,235,293,69,3.46606755256653,2157,1384,7334,0,0,0,0,117,235,293,69,3.46606755256653,5,68,21,23.966667175293,520,1,2,"291609600489998"
"51475370-321a-477a-b8d0-f48b628a5e2a","MBB_GROW",2026,95,1592,137,284,359,73,3.96572637557983,2393,1516,8069,0,0,0,0,137,284,359,73,3.96572637557983,5,68,18,25.189474105835,520,1,2,"291609600489998"
"51475370-321a-477a-b8d0-f48b628a5e2a","MBB_GROW",2031,100,1463,156,326,423,77,4.42702913284302,2645,1731,9406,0,0,0,0,156,326,423,77,4.42702913284302,5,64,29,26.4500007629395,503,1,1,"291609600489998"
"51475370-321a-477a-b8d0-f48b628a5e2a","MBB_GROW",2036,105,1292,169,347,458,81,4.89950132369995,2817,2034,11133,0,0,0,0,169,347,458,81,4.89950132369995,5,79,40,26.8285713195801,801,1,1,"291609600489998"
"51475370-321a-477a-b8d0-f48b628a5e2a","MBB_GROW",2041,110,1100,173,347,457,84,5.37232732772827,3015,2144,11749,0,0,0,0,173,347,457,84,5.37232732772827,5,65,42,27.4090900421143,801,1,1,"291609600489998"
"51475370-321a-477a-b8d0-f48b628a5e2a","MBB_GROW",2046,115,955,176,345,448,87,5.81535053253174,3133,2380,13487,0,0,0,0,176,345,448,87,5.81535053253174,0,0,0,27.2434787750244,801,1,1,"291609600489998"
"0ceb84dd-6e2e-4650-a04e-6c347054c4e2","MBB_GROW",2015,35,1452,67,129,147,66,2.91516423225403,1435,881,4644,0,0,0,0,67,129,147,66,2.91516423225403,5,29,167,41,520,1,3,"291609445489998"
"0ceb84dd-6e2e-4650-a04e-6c347054c4e2","MBB_GROW",2020,40,692,42,88,100,60,3.3220899105072,747,242,1205,0,0,0,0,42,88,100,60,3.3220899105072,5,27,29,18.6749992370605,503,2,4,"291609445489998"
"0ceb84dd-6e2e-4650-a04e-6c347054c4e2","MBB_GROW",2025,45,580,46,102,116,63,3.80567169189453,734,145,652,0,0,0,0,46,102,116,63,3.80567169189453,5,30,6,16.3111114501953,503,2,3,"291609445489998"
"0ceb84dd-6e2e-4650-a04e-6c347054c4e2","MBB_GROW",2030,50,553,55,121,140,66,4.26018619537354,857,139,620,0,0,0,0,55,121,140,66,4.26018619537354,5,34,2,17.1399993896484,503,2,3,"291609445489998"
"0ceb84dd-6e2e-4650-a04e-6c347054c4e2","MBB_GROW",2035,55,540,67,144,172,69,4.76015520095825,1019,249,1069,0,0,0,0,67,144,172,69,4.76015520095825,5,36,1,18.5272731781006,503,2,3,"291609445489998"
"0ceb84dd-6e2e-4650-a04e-6c347054c4e2","MBB_GROW",2040,60,529,77,162,195,72,5.16903591156006,1193,398,1806,0,0,0,0,77,162,195,72,5.16903591156006,5,75,2,19.8833332061768,503,1,2,"291609445489998"
"0ceb84dd-6e2e-4650-a04e-6c347054c4e2","MBB_GROW",2045,65,518,89,182,216,74,5.61082553863525,1560,697,3224,0,0,0,0,89,182,216,74,5.61082553863525,0,0,0,24,503,2,2,"291609445489998"
"7fce6c1f-4ed8-4da9-8456-c1201fe022eb","MBB_GROW",2015,56,789,78,131,148,86,4.25359153747559,2213,1639,8370,0,0,0,0,78,131,148,86,4.25359153747559,5,29,298,39.5178565979004,520,1,2,"291609452489998"
"7fce6c1f-4ed8-4da9-8456-c1201fe022eb","MBB_GROW",2020,61,335,35,65,74,75,4.38265085220337,872,524,2566,0,0,0,0,35,65,74,75,4.38265085220337,5,36,46,14.2950820922852,520,1,4,"291609452489998"
"7fce6c1f-4ed8-4da9-8456-c1201fe022eb","MBB_GROW",2025,66,262,37,71,84,75,5.05180358886719,824,437,2173,0,0,0,0,37,71,84,75,5.05180358886719,5,39,9,12.4848480224609,520,2,4,"291609452489998"
"7fce6c1f-4ed8-4da9-8456-c1201fe022eb","MBB_GROW",2030,71,246,44,85,107,79,5.7360372543335,975,504,2621,0,0,0,0,44,85,107,79,5.7360372543335,5,49,3,13.7323942184448,520,1,4,"291609452489998"
"7fce6c1f-4ed8-4da9-8456-c1201fe022eb","MBB_GROW",2035,76,239,54,100,129,82,6.41876173019409,1209,769,3997,0,0,0,0,54,100,129,82,6.41876173019409,5,63,2,15.9078950881958,520,1,4,"291609452489998"
"7fce6c1f-4ed8-4da9-8456-c1201fe022eb","MBB_GROW",2040,81,232,64,115,148,85,7.11763000488281,1516,1131,6041,0,0,0,0,64,115,148,85,7.11763000488281,5,84,2,18.7160491943359,520,1,3,"291609452489998"
"7fce6c1f-4ed8-4da9-8456-c1201fe022eb","MBB_GROW",2045,86,226,74,128,164,88,7.71722173690796,1927,1324,7410,0,0,0,0,74,128,164,88,7.71722173690796,0,0,0,22.4069766998291,520,1,3,"291609452489998"
"caa415e9-01d8-48df-9ba3-7d452903d98c","MBB_GROW",2015,25,9141,164,294,313,80,1.81178069114685,3665,2323,12768,0,0,0,0,164,294,313,80,1.81178069114685,5,54,265,146.600006103516,503,1,1,"291609682489998"
"caa415e9-01d8-48df-9ba3-7d452903d98c","MBB_GROW",2020,30,5271,136,291,309,78,2.17104172706604,2613,1649,9020,0,0,0,0,136,291,309,78,2.17104172706604,5,46,95,87.0999984741211,801,1,2,"291609682489998"
"caa415e9-01d8-48df-9ba3-7d452903d98c","MBB_GROW",2025,35,3032,146,336,391,81,2.96619391441345,2367,1560,8311,0,0,0,0,146,336,391,81,2.96619391441345,5,47,48,67.6285705566406,801,1,1,"291609682489998"
"caa415e9-01d8-48df-9ba3-7d452903d98c","MBB_GROW",2030,40,2007,151,340,424,84,3.71460580825806,2363,1594,8687,0,0,0,0,151,340,424,84,3.71460580825806,5,51,29,59.0750007629395,801,1,1,"291609682489998"
"caa415e9-01d8-48df-9ba3-7d452903d98c","MBB_GROW",2035,45,1551,156,338,432,86,4.294837474823,2476,1851,10181,0,0,0,0,156,338,432,86,4.294837474823,5,60,14,55.0222206115723,801,1,1,"291609682489998"
"caa415e9-01d8-48df-9ba3-7d452903d98c","MBB_GROW",2040,50,1378,164,345,439,88,4.67178964614868,2703,2040,11475,0,0,0,0,164,345,439,88,4.67178964614868,5,71,17,54.060001373291,801,1,1,"291609682489998"
"caa415e9-01d8-48df-9ba3-7d452903d98c","MBB_GROW",2045,55,1221,169,346,436,89,5.03849935531616,2974,2358,13184,0,0,0,0,169,346,436,89,5.03849935531616,0,0,0,54.0727272033691,801,1,1,"291609682489998"
"de496343-c58b-4bdd-89e2-23db09d32658","MBB_GROW",2016,65,5151,92,196,226,76,1.80718648433685,1518,739,3515,0,0,0,0,92,196,226,76,1.80718648433685,5,93,8,23.3538455963135,801,1,2,"291609878489998"
"de496343-c58b-4bdd-89e2-23db09d32658","MBB_GROW",2021,70,3251,121,262,295,80,2.61039519309998,1942,1247,5903,0,0,0,0,121,262,295,80,2.61039519309998,5,121,7,27.7428569793701,801,1,2,"291609878489998"
"de496343-c58b-4bdd-89e2-23db09d32658","MBB_GROW",2026,75,2752,158,353,405,81,3.24672174453735,2509,1745,8467,0,0,0,0,158,353,405,81,3.24672174453735,5,106,34,33.4533348083496,801,1,1,"291609878489998"
"de496343-c58b-4bdd-89e2-23db09d32658","MBB_GROW",2031,80,1780,166,347,404,82,4.13541269302368,2871,2088,10472,0,0,0,0,166,347,404,82,4.13541269302368,5,106,35,35.8875007629395,801,1,1,"291609878489998"
"de496343-c58b-4bdd-89e2-23db09d32658","MBB_GROW",2036,85,1262,171,336,391,85,4.98382711410522,3224,2524,12952,0,0,0,0,171,336,391,85,4.98382711410522,5,106,36,37.9294128417969,801,1,1,"291609878489998"
"de496343-c58b-4bdd-89e2-23db09d32658","MBB_GROW",2041,90,945,175,324,375,86,5.81933450698853,3575,2947,15752,0,0,0,0,175,324,375,86,5.81933450698853,5,111,50,39.7222213745117,801,1,1,"291609878489998"
"de496343-c58b-4bdd-89e2-23db09d32658","MBB_GROW",2046,95,671,174,302,342,90,6.88529634475708,3881,3323,17906,0,0,0,0,174,302,342,90,6.88529634475708,0,0,0,40.8526306152344,801,1,1,"291609878489998"
"2e411bab-5701-4ac9-86c1-7afb030e0d86","MBB_GROW",2015,70,3453,91,169,202,83,2.1965754032135,2159,1487,8016,0,0,0,0,91,169,202,83,2.1965754032135,5,52,271,30.8428573608398,506,1,2,"291609880489998"
"2e411bab-5701-4ac9-86c1-7afb030e0d86","MBB_GROW",2020,75,1338,58,125,154,75,2.8296115398407,1063,521,2895,0,0,0,0,58,125,154,75,2.8296115398407,5,77,52,14.1733331680298,511,2,3,"291609880489998"
