"StandID","Year","SpeciesFVS","cut.BA.ft.ac","cut.MCuFt.ac","Stand_CN"
"MBB_BAU",2016,"SM",0.891869471060982,26.8739919522854,"291609600489998"
"MBB_BAU",2016,"YP",0.28543346535677,5.97558737226995,"291609600489998"
"MBB_BAU",2021,"BD",0.0435551014194946,1.05521184765654,"291609600489998"
"MBB_BAU",2021,"CO",0.0176357171855227,0.344881711899219,"291609600489998"
"MBB_BAU",2021,"CT",0.0558205064006517,1.4466569418,"291609600489998"
"MBB_BAU",2021,"HI",0.0369114194315387,0.508540335398922,"291609600489998"
"MBB_BAU",2021,"RM",0.230672741228017,5.51539967995028,"291609600489998"
"MBB_BAU",2021,"SM",0.140102753424686,4.33031046507867,"291609600489998"
"MBB_BAU",2021,"WO",0.0170349541400775,0.3788261416,"291609600489998"
"MBB_BAU",2021,"YP",0.0476222664253163,1.11767006734048,"291609600489998"
"MBB_BAU",2021,"AB",0.692468940339275,15.5216463781123,"274683015489998"
"MBB_BAU",2021,"BC",1.11236616798245,34.56108783477,"274683015489998"
"MBB_BAU",2021,"HI",1.13778590942369,33.58397152,"274683015489998"
"MBB_BAU",2021,"RO",3.8115230119957,143.57435757109,"274683015489998"
"MBB_BAU",2021,"SD",0.510068916598338,8.9835945864705,"274683015489998"
"MBB_BAU",2021,"SM",5.64573489091277,159.49324900341,"274683015489998"
"MBB_BAU",2021,"SU",0.434395942271916,8.1022177544913,"274683015489998"
"MBB_BAU",2021,"YP",2.14379175844587,62.4914397948142,"274683015489998"
"MBB_BAU",2025,"AB",2.48181684055934,74.7528126581946,"291609445489998"
"MBB_BAU",2025,"HI",0.502136620621151,10.1848703588023,"291609445489998"
"MBB_BAU",2025,"SM",0.144667865362804,3.09133457639385,"291609445489998"
"MBB_BAU",2025,"SO",0.32410707668307,7.17097206571204,"291609445489998"
"MBB_BAU",2025,"VP",0.292945124768665,7.5791866468647,"291609445489998"
"MBB_BAU",2025,"YP",0.215648661426837,4.778740876,"291609445489998"
"MBB_BAU",2024,"AB",3.61739555811808,112.281803220076,"495155063126144"
"MBB_BAU",2024,"BC",1.27265244400806,39.60364152,"495155063126144"
"MBB_BAU",2024,"BG",1.64862876550052,47.54147524,"495155063126144"
"MBB_BAU",2024,"BO",0.915299645408456,25.5582471281494,"495155063126144"
"MBB_BAU",2024,"BU",0.680052747668987,13.5911206426081,"495155063126144"
"MBB_BAU",2024,"CK",2.16278248932947,67.6851451333498,"495155063126144"
"MBB_BAU",2024,"HI",4.55428250613897,136.287022854521,"495155063126144"
"MBB_BAU",2024,"SM",5.44598721037756,144.851170848767,"495155063126144"
"MBB_BAU",2024,"YP",3.82071215707726,123.560070720382,"495155063126144"
"MBB_BAU",2029,"AB",1.53394668595076,49.02539989,"495155063126144"
"MBB_BAU",2029,"BC",0.547894776392912,17.5156627695338,"495155063126144"
"MBB_BAU",2029,"BG",0.699998279516307,20.6044940017179,"495155063126144"
"MBB_BAU",2029,"BO",0.437520884501797,12.9998973201955,"495155063126144"
"MBB_BAU",2029,"BU",0.308146591235316,6.73529212474423,"495155063126144"
"MBB_BAU",2029,"CK",0.949822585267705,29.7525294288085,"495155063126144"
"MBB_BAU",2029,"HI",1.99048970211911,61.4189190568864,"495155063126144"
"MBB_BAU",2029,"SM",2.45697950033926,68.6182418576253,"495155063126144"
"MBB_BAU",2029,"YP",1.8728193847252,62.9648791379845,"495155063126144"
"MBB_BAU",2034,"AB",0.513579631337134,16.860759607869,"495155063126144"
"MBB_BAU",2034,"BC",0.164767701912128,5.50017707008973,"495155063126144"
"MBB_BAU",2034,"BG",0.21315615872284,6.39210103543971,"495155063126144"
"MBB_BAU",2034,"BO",0.152507128435986,4.64090176292016,"495155063126144"
"MBB_BAU",2034,"BU",0.2215524469799,5.27683000242099,"495155063126144"
"MBB_BAU",2034,"CK",0.304104840824521,9.55473025451766,"495155063126144"
"MBB_BAU",2034,"HI",0.626676991445268,19.926833057277,"495155063126144"
"MBB_BAU",2034,"SM",0.797231911018852,23.2108112412129,"495155063126144"
"MBB_BAU",2034,"YP",0.669847675194903,23.2831016716028,"495155063126144"
"MBB_BAU",2039,"AB",0.485646586563616,16.3359676994226,"495155063126144"
