"project","time","deltac.bau","baac.remv.bau","deltac","baac.remv"
386054017489998,0,0,0.0663902706565929,0,0
386054017489998,5,-11.8739290025476,0.0663902706565929,2.56061049939606,0
386054017489998,10,2.49601010037065,0.0663902706565929,1.28743018843995,0
386054017489998,15,1.12406136326502,0.0663902706565929,3.04012356562517,0
414338607489998,0,0,0.00914157693443862,0,0
414338607489998,5,-80.0197021669753,0.00914157693443862,-36.7950151441557,0
414338607489998,10,3.21034483188364,0.00914157693443862,2.63166071821548,0
414338607489998,15,0.739652728307665,0.00914157693443862,3.07520272085237,0
432124590489998,0,0,0.0925955920369328,0,0
432124590489998,5,-5.16480868429159,0.0925955920369328,-34.65229524222,0
432124590489998,10,-1.26636118281747,0.0925955920369328,3.18076337870021,0
432124590489998,15,6.2126232400109,0.0925955920369328,4.69054009759367,0
433033778489998,0,0,0.132256160790038,0,0
433033778489998,5,-23.2709680192688,0.132256160790038,-65.8602437384811,0
433033778489998,10,-1.91005641281141,0.132256160790038,0.977008763304294,0
433033778489998,15,2.63566149679425,0.132256160790038,3.15743849975039,0
433034154489998,0,0,0.081538681584792,0,0
433034154489998,5,-13.6800477005818,0.081538681584792,-37.6518192031774,0
433034154489998,10,2.14027011587278,0.081538681584792,0.762737049204745,0
433034154489998,15,3.28414054310934,0.081538681584792,10.6345509449379,0
433077281489998,0,0,0.0470892020589372,0,0
433077281489998,5,3.63272259890092,0.0470892020589372,3.49191223429277,0
433077281489998,10,1.4190185374285,0.0470892020589372,5.01850342562632,0
433077281489998,15,2.01924826219136,0.0470892020589372,6.56815706804888,0
480976585489998,0,0,0.00914157693443862,0,0
480976585489998,5,-62.1555238935628,0.00914157693443862,-4.2645818987884,0
480976585489998,10,2.77723696012656,0.00914157693443862,1.17861468356401,0
480976585489998,15,2.26306824720937,0.00914157693443862,-4.3602445694126,0
657096816126144,0,0,0.0624610603590772,0,0
657096816126144,5,-2.52130591231478,0.0624610603590772,6.60523582420468,0
657096816126144,10,3.41432072019258,0.0624610603590772,-0.419298517397675,0
657096816126144,15,2.07682461787471,0.0624610603590772,4.84676174503664,0
678977186126144,0,0,0.00959931433469038,0,0
678977186126144,5,-0.167128110357838,0.00959931433469038,1.85464829986729,0
678977186126144,10,4.56222364905757,0.00959931433469038,-4.5797648016166,0
678977186126144,15,3.4247728979737,0.00959931433469038,2.24273503585138,0
678977188126144,0,0,0.178401049369587,0,0
678977188126144,5,2.56619091711157,0.178401049369587,5.26155431413321,0
678977188126144,10,-1.01387547511706,0.178401049369587,6.85524647588919,0
678977188126144,15,0.63946346398932,0.178401049369587,2.60089199506996,0
